laufnummer,id,body,ocr text,hashtags,url,1,2,3,4,5,6,7,8,9,10,11,12,99,caption,Kategorie,Politischer Inhalt/Info,Negative Campaigning,Selbstpräsentation unpolitisch,Selbstpräsentation politisch,Parteipräsentation unpolitisch,Parteipräsentation politisch,Interaktion,Neutrale Infos zur Stimmabgabe,Mitgliederinfo,Fundraising,Veranstaltungshinweis,Wahlaufruf direkt,Sonstiges,Detailed Explanation
1.0,CvM3_las07N,"Unterfranken für Klimaschutz & Wirtschaftswachstum! 💪🌍
Erneut hatte der vbw zu einer Diskussion mit Landtagsabgeordneten & -kandidaten eingeladen. Thema war diesmal die bayerische Energie- und Klimapolitik. Obwohl die Wirtschaft Klimaziele unterstützt, ist die Transformation eine große Aufgabe. Nun wurden erste Ergebnisse des ""Bayernplans Energie 2040"" für Unterfranken präsentiert, mit dem Fazit, der Ausbau erneuerbarer Energien und Netze müsse beschleunigt werden.
Hierbei spielt der ländliche Raum für mich eine große Rolle, denn die Energie aus erneuerbaren Energien wird hier erzeugt. Bestenfalls kann über Bürgerbeteiligung die Energiewende mitgestaltet werden. Die Beschleunigung des Netzausbaus ist aber Aufgabe des Staates. Gemeinsam für Nachhaltigkeit & Erfolg! 🌱
Vielen Dank an den vbw für die Einladung und die Bereitstellung der Bilder.
#klimaschutzunterfranken #bayern2040 #nachhaltigkeit #energiewende #regenerativeenergie #landkreisbad.kissingen #landkreis_rhoengrabfeld #naturpark_hassberge #frankhelmerich #fw_bayern #landtagswahl #wasserstoff #klimawandel #vbw_bayern",vbw Stark für Bayern,"klimaschutzunterfranken,bayern2040,nachhaltigkeit,energiewende,regenerativeenergie,landkreisbad,landkreis,naturpark,frankhelmerich,fw,landtagswahl,wasserstoff,klimawandel,vbw",https://www.instagram.com/p/CvM3_las07N,1,0,0,1,0,0,0,0,0,0,0,0,0,"eine Gruppe von Menschen, die auf Stühlen auf einer Bühne sitzen",,1,0,0,1,0,1,0,0,0,0,0,0,0,"[""Politischer Inhalt/Info"", ""Selbstpräsentation politisch"", ""Parteipräsentation politisch""]"
2.0,CxZ-6qwt9jK,"Podiumsdiskussion Bayerischer Bauernverband:

Am vergangenen Montag nahm ich an der Podiumsdiskussion des Bauernverbandes im Landkreis Dachau teil.

Die sehr sachlich und fair geführte Podiumsdiskussion verdeutlichte vor allem eines: Der Bauernstand in Bayern ist in höchstem Maße durch den Strukturwandel, vor allem aber durch politische Beeinflussung bedroht. Die EU, nicht zu wenig aber auch die Landespolitik selbst, sorgen weiterhin für prekäre Verhältnisse. Die Hürden werden höher, während die Perspektiven dabei immer schlechter ausfallen. 

Selbst wenn sich die Meinungen in einigen Punkten gleichen sollten, nur die politische Alternative vertritt in ihrer Konsequenz diejenigen Punkte, welche keine andere Vertretung in der erforderlichen Deutlichkeit ansprechen möchte.

Bayerische Landwirtschaft stärken - Klasse statt Masse.

Berichterstattung Süddeutsche Zeitung:
https://t.ly/ZE5aO

#AfD #Bayern #LandtagswahlBayern #Bauern #Landwirtschaft #Heimat #Tradition #Zukunft

🔹▫️Tobias Teich
🔹▫️Listenplatz 5, AfD Obb.
🔹▫️Landtagswahl Bayern

🔥Folgt Teich auf Telegram🔥
https://t.me/teich_infokanal",AfD Tobias Teich,"AfD,Bayern,LandtagswahlBayern,Bauern,Landwirtschaft,Heimat,Tradition,Zukunft",https://www.instagram.com/p/CxZ-6qwt9jK,1,1,0,1,0,0,0,0,0,0,0,0,0,ein Tisch mit einem Schild mit der Aufschrift „ab“,,1,1,0,1,0,0,0,0,0,0,0,0,0,"[""Politischer Inhalt/Info"", ""Selbstpräsentation politisch"", ""Negative Campaigning""]"
3.0,CxqKT1yIfof,"Daddy Maggus erklärt euch, warum ihr mich am 8. Oktober in den Landtag wählen solltet. Starring: Schlechte Kameraperspektive, aber wenigstens viel Bass in der Stimme 😉",,,https://www.instagram.com/p/CxqKT1yIfof,0,1,0,0,0,0,0,0,0,0,0,1,0,ein Mann mit einem Handy in der Hand,,0,0,0,0,0,0,0,0,0,0,0,1,0,"[""Wahlaufruf direkt""]"
4.0,Cxz8X6lIs1k,"Liebe @nicolagehringer_ , das verdient einen eigenen Post. Was ist das süß! Da kann ja nichts mehr schief gehen bei der tierischen Unterstützung #entschlossenfüruns #landtagswahl2023 #bezirkstagswahl2023 #sosweet",Cu Schreyer Cu,"entschlossenfüruns,landtagswahl2023,bezirkstagswahl2023,sosweet",https://www.instagram.com/p/Cxz8X6lIs1k,0,0,1,0,0,0,0,0,0,0,0,0,0,"ein kleiner Hund, der auf einer Decke sitzt",,0,0,0,0,0,0,0,0,0,0,0,0,1,"[""13. Sonstiges""]"
5.0,CsBK1Gutcdl,"Eine Lesung für Kinder in der Münchner Stadtteilbibliothek Bogenhausen durch Dragqueen @vicky.voyage, Dragking @alicemoe_ericbigcltdrag und trans Jungautorin Julana Gleisenberg sorgt für große Aufregung bei #CSU, #freiewähler und #SPD. CSU und Freie Wähler möchten die Lesung verbieten und Generalsekretär Martin Huber bezeichnet die Veranstaltung in AfD-Manier sogar als „woke Frühsexualisierung“ und auch Oberbürgermeister Reiter meint, er habe kein Verständnis und würde mit seiner Enkelin nicht auf eine solche Veranstaltung gehen.

„Wenn eine #Draglesung für Kinder bei CSU, Freie Wähler und sogar SPD so viel Staub aufwirbelt, zeigt das, dass wir noch lange nicht an dem Punkt sind, an dem queere Menschen sich entspannt zurücklehnen können im Wissen, dass sie in der Mitte der Gesellschaft angekommen sind und ohne Diskriminierung leben können. Genau aus diesem Grund ist es wichtig, dass Kinder möglichst früh die Vielfalt unserer Gesellschaft erleben können. Dazu tragen Draglesungen bei - mit Frühsexualisierung hat das nichts zu tun“, meint unser Sprecher für #Queerpolitik, @wolfgang.schulz.089. 

„Vielleicht würde allen Kritiker:innen ein Besuch einer Draglesung sogar guttun. Sie könnten nämlich von den Kindern lernen, dass Interesse und Unvoreingenommenheit die richtigen Herangehensweisen sind und eigene Vorurteile im besten Fall überwinden“, so unsere Landessprecherin @adelheid_rupp.

#dragqueen #drag #queer @queer.de @queermunich #dragking #lesung #bogenhausen #münchen #nürnberg #regensburg #augsburg #fürth #ingolstadt #würzburg #bamberg #Bayreuth #erlangen #passau #dielinke #bayern #rosenheim","""Kinderarmut und Kitakrise gefährden Kindeswohl"" CSUX Dragqueens gefährden Kindeswohl"" CSUX","CSU,freiewähler,SPD,Draglesung,Queerpolitik,dragqueen,drag,queer,dragking,lesung,bogenhausen,münchen,nürnberg,regensburg,augsburg,fürth,ingolstadt,würzburg,bamberg,Bayreuth,erlangen,passau,dielinke,bayern,rosenheim",https://www.instagram.com/p/CsBK1Gutcdl,1,1,0,0,0,0,0,0,0,0,0,0,0,ein Mann in einer roten Jacke und einem gelben Hemd mit einem blauen Aufkleber im Gesicht,,1,1,0,0,0,0,0,0,0,0,0,0,0,"[""Politischer Inhalt/Info"", ""Negative Campaigning""]"
6.0,Cxi3qxWKxU5,So hört sich Viehscheid an 😃😊. Heute konnte ich unsere Älplerinnen und Älpler in meiner Heimat Missen begrüßen und gemeinsam mit ihnen feiern. Es war fantastisch! #viehscheid #allgaeu #heimat #missen #kuhglocken #tradition,Viehsheid VCTSS,"viehscheid,allgaeu,heimat,missen,kuhglocken,tradition",https://www.instagram.com/p/Cxi3qxWKxU5,0,0,1,0,0,0,0,0,0,0,0,0,0,"eine Band, die in einem großen Raum spielt, während die Leute zuschauen",,0,0,1,0,1,0,0,0,0,0,0,0,0,"[""Selbstpräsentation unpolitisch"", ""Parteipräsentation unpolitisch""]"
7.0,CvciI79opKQ,"Liebe Mitglieder und Freunde, 

Hier gibt es den Rückblick auf unseren gelungenen Wahlkampfauftakt am 20.07., wo sich unsere Kandidatinnen für die Landtagswahl @evikeili und @felicitasknoll und unsere Kandidaten für die Bezirkswahl Dr. Heinz Kroiss und Dr. Michael Schöll vorgestellt haben💛

Auf dem letzten Slide gewinnt ihr einen Einblick, was unser Gstanzlsänger über unsere Direktkandidatin @evikeili zu singen hatte 😉

#fdp #freiedemokraten #ltw2023 #ltw #liberal #politik #politics #jungeliberale",Rückblick auf den Wahlkampfauftakt FDP,"fdp,freiedemokraten,ltw2023,ltw,liberal,politik,politics,jungeliberale",https://www.instagram.com/p/CvciI79opKQ,0,0,0,0,0,1,0,0,0,0,0,0,0,eine Frau sitzt auf einer Couch mit einem Buch in der Hand,,0,0,0,1,0,1,0,0,1,0,0,0,0,"[""4. Selbstpräsentation politisch"", ""6. Parteipräsentation politisch"", ""9. Mitgliederinfo""]"
8.0,Csxz2zsNTV2,Euch allen ein schönes Pfingstfest! #pfingsten#pfingstfest#oberpfalz#regensburg#schwandorf#cham#amberg#neumarktinderoberpfalz#weideninderoberpfalz#tirschenreuth#neustadtanderwaldnaab#lappersdorf#regenstauf#neutraubling#pfatter#wiesent#sinzing#schwarzenfeld#neunburgvormwald#bruckinderoberpfalz#nittenau#burglengenfeld#maxhüttehaidhof#mitterteich#eslarn#waldsassen#wiesau#freystadt,Frke P}ngtinl Listenplatz 5 AfD Dieter Arnold Kreisverband 1 Kreisvorsitzender & Regensburg Landtagskandidat,"pfingsten,pfingstfest,oberpfalz,regensburg,schwandorf,cham,amberg,neumarktinderoberpfalz,weideninderoberpfalz,tirschenreuth,neustadtanderwaldnaab,lappersdorf,regenstauf,neutraubling,pfatter,wiesent,sinzing,schwarzenfeld,neunburgvormwald,bruckinderoberpfalz,nittenau,burglengenfeld,maxhüttehaidhof,mitterteich,eslarn,waldsassen,wiesau,freystadt",https://www.instagram.com/p/Csxz2zsNTV2,0,0,1,0,0,0,0,0,0,0,0,0,0,der Pin-Podcast mit einem Mann in Anzug und Krawatte,,0,0,1,0,1,0,0,0,0,0,0,0,1,"[""3. Selbstpräsentation unpolitisch"", ""5. Parteipräsentation unpolitisch"", ""13. Sonstiges""]"
9.0,Crz3UrRoG7p,"Statt sich um wichtige Zukunftsthemen zu kümmern, kennen die Grünen nur eine Richtung: Die Bürger nach ihrer verrückten Ideologie umzuerziehen....

Schluss damit! Nur noch AfD 💙","Würzburg: GRÜNE Stadt Wahl des verbieten Fleisch! 15.03.2020 29,25 Das Hafenfest in Würzburg soll nach dem Dekret des 9,22 6,18 3,82 grünen Kulturreferats in 3,47 3,42 Zukunft nur noch Uhr 162 vegetarisch sein. Selbst Fisch ist verboten. Merke: Wer Grüne wählt, bekommt Verbote. Schluss damit! Nur noch AfD! Gerd Mannes AfD Mitglied des Bayerischen Landtags Stellvertretender Fraktionsvorsitzender Würzburg Gesamtergebnis Stadtrats 32,48 1,43 GRONE WAHLERIFWG 16,037020 1451 grüne",,https://www.instagram.com/p/Crz3UrRoG7p,1,1,0,0,0,0,0,0,0,0,0,1,0,ein Flyer mit einem Balkendiagramm und einem Balkendiagramm,,0,1,0,0,0,0,0,0,0,0,0,0,0,"[""2. Negative Campaigning""]"
10.0,CtTIvFAILfY,"🤩Wahnsinn!🤩

Über 60.000 Menschen unterstützen unsere Petition zur Rettung der Krankenhäuser bereits!💪💪💪

Jetzt mitmachen: https://www.change.org/krankenhausretten.✍️

Mehr dazu:
https://tinyurl.com/OnlinePetitionKliniken",Laku MED imiea SCHLOSSKLINIK Rottenburg Hauptelnga (Nachtolort:,,https://www.instagram.com/p/CtTIvFAILfY,1,0,0,0,0,0,0,0,0,0,0,0,0,das Team der neuen Anlage,,1,0,0,0,0,0,1,0,0,0,0,0,0,"[""Politischer Inhalt/Info"", ""Interaktion""]"
